INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : Isla San Lorenzo, Callao
CODIGO  : SLN1
LATITUD : -12.076
LONGITUD: -77.235

2. SISMO
FECHA LOCAL     : 2025/06/15
HORA LOCAL      : 11:35:27
LATITUD         : -12.180
LONGITUD        : -77.390
PROFUNDIDAD     : 49.0 km
MAGNITUD        : M6.1
DIST. EPICENTRAL: 20.4 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2025/06/15 16:35:30 UTC
NUMERO DE MUESTRAS         : 7038
MUESTREO                   : 100.0 muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   29.4497        33.7272       29.5751

              Z              N              E
         -0.026368       -0.014917       -0.011742
         -0.025844       -0.014642       -0.011385
         -0.025459       -0.015186       -0.011213
         -0.024237       -0.015620       -0.011257
         -0.022391       -0.014915       -0.011478
         -0.020855       -0.013605       -0.012080
         -0.019802       -0.012908       -0.013125
         -0.018564       -0.012895       -0.014129
         -0.016815       -0.012793       -0.014561
         -0.015011       -0.012350       -0.014636
         -0.013599       -0.011754       -0.014976
         -0.012413       -0.010907       -0.015620
         -0.011037       -0.009801       -0.015998
         -0.009351       -0.009054       -0.015744
         -0.007473       -0.009177       -0.014976
         -0.005446       -0.009603       -0.014062
         -0.003278       -0.009167       -0.013457
         -0.001149       -0.007550       -0.013428
          0.000728       -0.005599       -0.013795
          0.002450       -0.004061       -0.014143
          0.004361       -0.002736       -0.014207
          0.006595       -0.001168       -0.013964
          0.008968        0.000641       -0.013516
          0.011349        0.002470       -0.012924
          0.013894        0.004071       -0.012066
          0.016810        0.005028       -0.010801
          0.020020        0.005157       -0.009349
          0.023173        0.005014       -0.008276
          0.025997        0.005412       -0.007920
          0.028512        0.006502       -0.007991
          0.030837        0.007716       -0.007988
          0.033042        0.008568       -0.007838
          0.035229        0.009237       -0.007681
          0.037459        0.010282       -0.007266
          0.039602        0.011975       -0.006180
          0.041643        0.014087       -0.004546
          0.043956        0.016128       -0.002951
          0.046758        0.017696       -0.001667
          0.049576        0.018759       -0.000512
          0.051880        0.019630        0.000476
          0.053897        0.020690        0.000876
          0.056164        0.022281        0.000740
          0.058633        0.024628        0.000968
          0.060969        0.027417        0.002213
          0.063315        0.029750        0.003933
          0.065881        0.031033        0.005241
          0.068200        0.031631        0.006208
          0.069762        0.032226        0.007581
          0.071008        0.032951        0.009532
          0.072713        0.033537        0.011427
